registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
940139700004,4,MISC,BALASORE,SIMULIA,PARTNERSHIP MORE THAN RS.500,22-Mar-1997,22-Mar-1997,,4,1997,True,True,render_gcs_ingest
940399500062,4,MISC,CUTTACK,CUTTACK,GENERAL AGREEMENT,13-Mar-1995,02-Mar-1995,,,1995,True,True,render_gcs_ingest
941139700726,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,726,1997,True,True,render_gcs_ingest
940399600098,4,MISC,CUTTACK,UNKNOWN,GENERAL POA WITHOUT PROPERTY,14-Mar-1996,11-Mar-1996,,98,1996,True,True,render_gcs_ingest
941080200136,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,,2002,True,True,render_gcs_ingest
930609900017,3,WILL,GANJAM,BERHAMPUR-II,OTHER DEED,29-Jan-1999,28-Jan-1999,,17,1999,True,True,render_gcs_ingest
940989600008,4,MISC,UNKNOWN,UNKNOWN,PARTNERSHIP MORE THAN RS.500,,20-Nov-1996,,,1996,True,True,render_gcs_ingest
911190800718,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,,True,True,render_gcs_ingest
910010703637,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,19-Sep-2007,27-Aug-2007,,,2007,True,True,render_gcs_ingest
910010901798,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,18-Apr-2009,18-Apr-2009,80000,1798,2009,True,True,render_gcs_ingest
910540400812,1,SALE,DHENKANAL,BHUBAN,SALE IMMOVABLE,07-Mar-2004,07-Mar-2004,16250,812,2004,True,True,render_gcs_ingest
910050801561,1,SALE,ANGUL,TALCHER,SALE IMMOVABLE,,15-Sep-2008,,1561,2008,True,True,render_gcs_ingest
910039600513,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,1996,True,True,render_gcs_ingest
910010503734,1,SALE,UNKNOWN,ANGUL,SALE IMMOVABLE,,19-Oct-2005,9000,3734,2005,True,False,render_gcs_ingest
911010500295,1,SALE,KEONJHAR,ANANDPUR,SALE IMMOVABLE,27-Mar-2005,27-Mar-2005,0,295,2005,True,True,render_gcs_ingest
910020400070,1,SALE,UNKNOWN,ATHAMALLIK,SALE IMMOVABLE,,,,70,2004,True,True,render_gcs_ingest
